 -82 [da:11:1c:d7:12:dc]
RSSI: -80 [da:11:6a:1a:11:ec]
RSSI: -80 [da:09:e1:69:15:8b]
RSSI: -60 [da:0b:c5:6a:0d:aa]
RSSI: -80 [da:11:6a:27:12:1c]
RSSI: -83 [da:09:e1:75:15:ab]
RSSI: -60 [da:0b:c5:6a:0d:aa]
RSSI: -78 [da:11:6a:34:12:3c]
RSSI: -77 [da:11:6a:34:12:3c]
RSSI: -82 [da:09:e1:85:15:db]
RSSI: -81 [da:09:e1:95:16:0b]
RSSI: -79 [da:11:6a:41:12:6c]
RSSI: -61 [da:0b:c5:85:0d:fa]
RSSI: -81 [da:09:e1:95:16:0b]
RSSI: -79 [da:11:6a:4e:12:8c]
RSSI: -63 [da:0b:c5:94:0e:2a]
RSSI: -85 [da:09:e1:a1:16:2b]
RSSI: -80 [da:11:6a:4e:12:8c]
RSSI: -63 [da:0b:c5:94:0e:2a]
RSSI: -82 [da:09:e1:a1:16:2b]
RSSI: -80 [da:11:6a:5a:12:bc]
RSSI: -64 [da:0b:c5:a1:0e:4a]
RSSI: -81 [da:11:6a:5a:12:bc]
RSSI: -86 [da:09:e1:b1:16:5b]
RSSI: -67 [da:0b:c5:a1:0e:4a]
RSSI: -83 [da:09:e1:b1:16:5b]
RSSI: -81 [da:11:6a:68:12:ec]
RSSI: -82 [da:09:e1:c1:00:0b]
RSSI: -67 [da:0b:c5:b0:0e:7a]
RSSI: -82 [da:09:e1:c1:00:0b]
RSSI: -85 [da:11:6a:75:13:0c]
RSSI: -71 [da:0b:c5:be:0e:9a]
RSSI: -83 [da:11:6a:75:13:0c]
RSSI: -71 [da:0b:c5:be:0e:9a]
RSSI: -82 [da:09:e1:cd:00:2b]
RSSI: -88 [da:11:6a:8e:13:5c]
RSSI: -75 [da:0b:c5:cb:0e:ba]
RSSI: -85 [da:09:e1:dd:00:5b]
RSSI: -74 [da:0b:c5:da:0e:ea]
RSSI: -76 [da:0b:c5:da:0e:ea]
RSSI: -75 [da:0b:c5:e8:0f:1a]
RSSI: -72 [da:0b:c5:e8:0f:1a]
RSSI: -75 [da:0b:c5:f5:0f:3a]
RSSI: -74 [da:0b:c5:f5:0f:3a]
RSSI: -74 [da:0b:c6:04:0f:6a]
RSSI: -74 [da:0b:c6:1f:0f:aa]
RSSI: -90 [da:11:6a:dc:14:5c]
RSSI: -74 [da:0b:c6:2e:0f:da]
RSSI: -74 [da:0b:c6:2e:0f:da]
RSSI: -74 [da:0b:c6:3d:10:0a]
RSSI: -76 [da:0b:c6:3d:10:0a]
RSSI: -91 [da:11:6b:03:14:cc]
RSSI: -76 [da:0b:c6:49:10:2a]
RSSI: -78 [da:0b:c6:58:10:5a]
RSSI: -78 [da:0b:c6:67:10:7a]
RSSI: -76 [da:0b:c6:67:10:7a]
RSSI: -90 [da:0e:cf:85:0f:0e]
RSSI: -75 [da:0b:c6:74:10:aa]
RSSI: -85 [da:0e:cf:91:0f:3e]
RSSI: -77 [da:0b:c6:74:10:aa]
RSSI: -75 [da:0b:c6:82:10:ca]
RSSI: -75 [da:0b:c6:82:10:ca]
RSSI: -76 [da:0b:c6:91:10:fa]
RSSI: -75 [da:0b:c6:91:10:fa]
RSSI: -89 [da:0e:cf:bd:0f:ae]
RSSI: -79 [da:0b:c6:a3:11:2a]
RSSI: -80 [da:0b:c6:b3:11:5a]
RSSI: -80 [da:0b:c6:b3:11:5a]
RSSI: -82 [da:0b:c6:b3:11:5a]
RSSI: -80 [da:0b:c6:c2:11:7a]
RSSI: -82 [da:0b:c6:c2:11:7a]
RSSI: -85 [da:0b:c6:cf:11:aa]
RSSI: -81 [da:0b:c6:cf:11:aa]
RSSI: -83 [da:0b:c6:de:11:ca]
RSSI: -81 [da:0b:c6:ec:11:fa]
RSSI: -81 [da:0b:c6:f9:12:1a]
RSSI: -80 [da:0b:c6:f9:12:1a]
RSSI: -80 [da:0b:c7:08:12:4a]
RSSI: -83 [da:0b:c7:08:12:4a]
RSSI: -81 [da:0b:c7:17:12:6a]
RSSI: -80 [da:0b:c7:17:12:6a]
RSSI: -82 [da:0b:c7:23:12:8a]
RSSI: -83 [da:0b:c7:32:12:ba]
RSSI: -81 [da:0b:c7:41:12:ea]
RSSI: -81 [da:0b:c7:4e:13:0a]
RSSI: -79 [da:0b:c7:4e:13:0a]
RSSI: -78 [da:0b:c7:5c:13:2a]
RSSI: -82 [da:0b:c7:6b:13:5a]
RSSI: -79 [da:0b:c7:78:13:7a]
RSSI: -77 [da:0b:c7:87:13:aa]
RSSI: -78 [da:0b:c7:87:13:aa]
RSSI: -79 [da:0b:c7:87:13:aa]
RSSI: -82 [da:0b:c7:96:13:ca]
RSSI: -79 [da:0b:c7:96:13:ca]
RSSI: -81 [da:0b:c7:a2:13:fa]
RSSI: -81 [da:0b:c7:a2:13:fa]
RSSI: -79 [da:0b:c7:b1:14:1a]
RSSI: -79 [da:0b:c7:c0:14:4a]
RSSI: -78 [da:0b:c7:c0:14:4a]
RSSI: -82 [da:0b:c7:cc:14:6a]
RSSI: -80 [da:0b:c7:cc:14:6a]
RSSI: -87 [da:0b:c7:db:14:8a]
RSSI: -82 [da:0b:c7:ea:14:ba]
RSSI: -90 [da:09:e3:fe:06:8b]
RSSI: -92 [da:09:e4:56:07:9b]
RSSI: -92 [da:09:e4:63:07:bb]
RSSI: -91 [da:09:e4:73:07:eb]
RSSI: -91 [da:09:e4:8f:08:3b]
RSSI: -90 [da:0b:c8:94:00:5a]
RSSI: -89 [da:09:e4:af:08:9b]
RSSI: -89 [da:11:6d:57:05:ac]
RSSI: -92 [da:09:e4:bb:08:bb]
RSSI: -86 [da:11:6d:7e:06:2c]
RSSI: -91 [da:11:6d:8b:06:4c]
RSSI: -89 [da:0b:c8:e9:01:4a]
RSSI: -86 [da:11:6d:a5:06:ac]
RSSI: -90 [da:0b:c8:f5:01:6a]
RSSI: -88 [da:0b:c9:04:01:8a]
RSSI: -85 [da:11:6d:cc:07:1c]
RSSI: -93 [da:0b:c9:20:01:da]
RSSI: -86 [da:11:6d:f3:07:9c]
RSSI: -94 [da:0b:c9:59:02:8a]
RSSI: -88 [da:0b:c9:75:02:ca]
RSSI: -88 [da:11:6e:41:08:9c]
RSSI: -89 [da:0b:c9:84:02:fa]
RSSI: -88 [da:0b:c9:9f:03:4a]
RSSI: -88 [da:0b:c9:9f:03:4a]
RSSI: -85 [da:0b:c9:ae:03:6a]
RSSI: -86 [da:11:6e:75:09:3c]
RSSI: -90 [da:0b:c9:bd:03:9a]
RSSI: -86 [da:11:6e:75:09:3c]
RSSI: -86 [da:0b:c9:bd:03:9a]
RSSI: -85 [da:11:6e:83:09:6c]
RSSI: -84 [da:11:6e:83:09:6c]
RSSI: -85 [da:11:6e:83:09:6c]
RSSI: -84 [da:11:6e:90:09:9c]
RSSI: -86 [da:11:6e:9c:09:bc]
RSSI: -84 [da:11:6e:9c:09:bc]
RSSI: -87 [da:0b:c9:e8:04:0a]
RSSI: -84 [da:11:6e:aa:09:ec]
RSSI: -86 [da:0b:c9:f4:04:2a]
RSSI: -85 [da:0b:c9:f4:04:2a]
RSSI: -86 [da:11:6e:b7:0a:0c]
RSSI: -86 [da:11:6e:b7:0a:0c]
RSSI: -85 [da:0b:ca:03:04:5a]
RSSI: -83 [da:11:6e:c4:0a:3c]
RSSI: -85 [da:0b:ca:03:04:5a]
RSSI: -84 [da:11:6e:d1:0a:6c]
RSSI: -86 [da:0b:ca:1f:04:aa]
RSSI: -90 [da:0b:ca:1f:04:aa]
RSSI: -85 [da:11:6e:eb:0a:bc]
RSSI: -85 [da:11:6e:eb:0a:bc]
RSSI: -86 [da:11:6e:f8:0a:dc]
RSSI: -86 [da:11:6e:f8:0a:dc]
RSSI: -83 [da:0b:ca:59:05:4a]
RSSI: -87 [da:11:6f:12:0b:3c]
RSSI: -91 [da:11:6f:1f:0b:5c]
RSSI: -89 [da:11:6f:2d:0b:8c]
RSSI: -91 [da:0b:ca:74:05:9a]
RSSI: -86 [da:0b:ca:83:05:ca]
RSSI: -83 [da:0b:ca:92:05:ea]
RSSI: -87 [da:0b:ca:9f:06:0a]
RSSI: -86 [da:0b:ca:ae:06:3a]
RSSI: -87 [da:0b:ca:ae:06:3a]
RSSI: -82 [da:0b:ca:bd:06:6a]
RSSI: -90 [da:0b:ca:bd:06:6a]
RSSI: -92 [da:11:6f:88:0c:ac]
RSSI: -93 [da:09:e6:e0:0f:0b]
RSSI: -93 [da:11:6f:af:0d:2c]
RSSI: -82 [da:0b:ca:f4:06:fa]
RSSI: -79 [da:0b:cb:03:07:2a]
RSSI: -89 [da:11:6f:ca:0d:8c]
RSSI: -89 [da:11:6f:ca:0d:8c]
RSSI: -81 [da:0b:cb:1f:07:7a]
RSSI: -78 [da:0b:cb:1f:07:7a]
RSSI: -88 [da:11:6f:e4:0d:dc]
RSSI: -79 [da:0b:cb:2e:07:9a]
RSSI: -87 [da:11:6f:f1:0e:0c]
RSSI: -77 [da:0b:cb:3d:07:ca]
RSSI: -76 [da:0b:cb:49:07:ea]
RSSI: -75 [da:0b:cb:49:07:ea]
RSSI: -74 [da:0b:cb:58:08:1a]
RSSI: -73 [da:0b:cb:58:08:1a]
RSSI: -74 [da:0b:cb:67:08:3a]
RSSI: -73 [da:0b:cb:67:08:3a]
RSSI: -72 [da:0b:cb:74:08:6a]
RSSI: -92 [da:09:e7:82:10:eb]
RSSI: -90 [da:0e:d4:96:07:1e]
