 -81 [da:09:af:f3:0f:7c]
RSSI: -84 [da:4f:2f:43:02:cb]
RSSI: -84 [da:09:df:0f:02:6c]
RSSI: -84 [da:4f:2f:43:02:cb]
RSSI: -77 [da:09:df:0f:02:6c]
RSSI: -71 [da:09:df:1c:02:9c]
RSSI: -85 [da:4f:2f:52:02:eb]
RSSI: -78 [da:09:df:1c:02:9c]
RSSI: -85 [da:4f:2f:52:02:eb]
RSSI: -74 [da:09:df:29:02:bc]
RSSI: -74 [da:09:df:29:02:bc]
RSSI: -85 [da:4f:2f:5f:03:1b]
RSSI: -76 [da:09:df:36:02:ec]
RSSI: -73 [da:09:df:36:02:ec]
RSSI: -71 [da:09:df:42:03:0c]
RSSI: -75 [da:09:df:4f:03:2c]
RSSI: -75 [da:09:df:4f:03:2c]
RSSI: -75 [da:09:df:4f:03:2c]
RSSI: -85 [da:4f:2f:88:03:9b]
RSSI: -84 [da:4f:2f:88:03:9b]
RSSI: -83 [da:09:df:5c:03:5c]
RSSI: -81 [da:09:df:5c:03:5c]
RSSI: -84 [da:4f:2f:97:03:cb]
RSSI: -86 [da:09:df:69:03:7c]
RSSI: -85 [da:4f:2f:97:03:cb]
RSSI: -85 [da:4f:2f:a6:03:eb]
RSSI: -84 [da:4f:2f:a6:03:eb]
RSSI: -80 [da:09:df:76:03:ac]
RSSI: -86 [da:4f:2f:b2:04:1b]
RSSI: -88 [da:09:df:83:03:cc]
RSSI: -87 [da:4f:2f:c1:04:4b]
RSSI: -81 [da:09:df:8f:03:ec]
RSSI: -86 [da:4f:2f:c1:04:4b]
RSSI: -85 [da:09:df:8f:03:ec]
RSSI: -83 [da:09:df:9c:04:1c]
RSSI: -87 [da:4f:2f:d0:04:6b]
RSSI: -91 [da:09:df:9c:04:1c]
RSSI: -89 [da:4f:2f:dc:04:9b]
RSSI: -82 [da:09:df:a9:04:3c]
RSSI: -90 [da:4f:2f:dc:04:9b]
RSSI: -85 [da:09:df:b6:04:6c]
RSSI: -87 [da:09:df:c3:04:8c]
RSSI: -86 [da:09:df:c3:04:8c]
RSSI: -90 [da:09:df:d0:04:bc]
RSSI: -85 [da:09:df:dc:04:dc]
RSSI: -84 [da:09:df:dc:04:dc]
RSSI: -82 [da:09:df:ea:04:fc]
RSSI: -80 [da:09:df:ea:04:fc]
RSSI: -82 [da:09:df:f6:05:2c]
RSSI: -81 [da:09:df:f6:05:2c]
RSSI: -81 [da:09:e0:03:05:4c]
RSSI: -82 [da:09:e0:1d:05:9c]
RSSI: -85 [da:09:e0:2a:05:cc]
RSSI: -84 [da:09:e0:37:05:ec]
RSSI: -82 [da:09:e0:37:05:ec]
RSSI: -86 [da:09:e0:44:06:1c]
RSSI: -86 [da:09:e0:44:06:1c]
RSSI: -89 [da:09:e0:50:06:3c]
RSSI: -78 [da:09:e0:5d:06:6c]
RSSI: -79 [da:09:e0:6a:06:8c]
RSSI: -79 [da:09:e0:6a:06:8c]
RSSI: -81 [da:09:e0:77:06:bc]
RSSI: -83 [da:09:e0:77:06:bc]
RSSI: -88 [da:09:e0:84:06:dc]
RSSI: -82 [da:09:e0:84:06:dc]
RSSI: -83 [da:09:e0:91:07:0c]
RSSI: -83 [da:09:e0:91:07:0c]
RSSI: -82 [da:09:e0:ab:07:5c]
RSSI: -80 [da:09:e0:ab:07:5c]
RSSI: -79 [da:09:e0:b8:07:7c]
RSSI: -76 [da:09:e0:c4:07:ac]
RSSI: -77 [da:09:e0:c4:07:ac]
RSSI: -79 [da:09:e0:d1:07:cc]
RSSI: -80 [da:09:e0:d1:07:cc]
RSSI: -77 [da:09:e0:de:07:fc]
RSSI: -79 [da:09:e0:de:07:fc]
RSSI: -79 [da:09:e0:eb:08:1c]
RSSI: -82 [da:09:e0:f8:08:4c]
RSSI: -77 [da:09:e0:f8:08:4c]
RSSI: -81 [da:09:e1:05:08:7c]
RSSI: -78 [da:09:e1:05:08:7c]
RSSI: -79 [da:09:e1:12:08:9c]
RSSI: -76 [da:09:e1:1f:08:cc]
RSSI: -75 [da:09:e1:1f:08:cc]
RSSI: -77 [da:09:e1:2c:08:ec]
RSSI: -76 [da:09:e1:2c:08:ec]
RSSI: -78 [da:09:e1:38:09:1c]
RSSI: -80 [da:09:e1:45:09:3c]
RSSI: -79 [da:09:e1:52:09:6c]
RSSI: -80 [da:09:e1:52:09:6c]
RSSI: -81 [da:09:e1:5f:09:8c]
RSSI: -81 [da:09:e1:6c:09:bc]
RSSI: -83 [da:09:e1:79:09:dc]
RSSI: -88 [da:09:e1:86:0a:0c]
RSSI: -81 [da:09:e1:93:0a:2c]
RSSI: -81 [da:09:e1:a0:0a:5c]
RSSI: -81 [da:09:e1:a0:0a:5c]
RSSI: -82 [da:09:e1:ad:0a:7c]
RSSI: -78 [da:09:e1:ba:0a:ac]
RSSI: -76 [da:09:e1:c7:0a:cc]
RSSI: -74 [da:09:e1:d3:0a:fc]
RSSI: -73 [da:09:e1:e0:0b:1c]
RSSI: -73 [da:09:e1:fa:0b:6c]
RSSI: -73 [da:09:e1:fa:0b:6c]
RSSI: -70 [da:09:e1:fa:0b:6c]
RSSI: -73 [da:09:e2:07:0b:9c]
RSSI: -70 [da:09:e2:14:0b:bc]
RSSI: -74 [da:09:e2:21:0b:ec]
RSSI: -71 [da:09:e2:21:0b:ec]
RSSI: -74 [da:09:e2:2e:0c:0c]
RSSI: -74 [da:09:e2:2e:0c:0c]
RSSI: -73 [da:09:e2:3b:0c:3c]
RSSI: -83 [da:09:e2:48:0c:5c]
RSSI: -74 [da:09:e2:48:0c:5c]
RSSI: -74 [da:09:e2:55:0c:8c]
RSSI: -76 [da:09:e2:62:0c:bc]
RSSI: -85 [da:09:e2:6f:0c:dc]
RSSI: -77 [da:09:e2:6f:0c:dc]
RSSI: -73 [da:09:e2:7c:0d:0c]
RSSI: -82 [da:09:e2:7c:0d:0c]
RSSI: -78 [da:09:e2:89:0d:2c]
RSSI: -87 [da:09:e2:95:0d:5c]
RSSI: -80 [da:09:e2:95:0d:5c]
RSSI: -75 [da:09:e2:a3:0d:7c]
RSSI: -81 [da:09:e2:b0:0d:ac]
RSSI: -90 [da:51:16:fa:00:6a]
RSSI: -79 [da:09:e2:bc:0d:cc]
RSSI: -75 [da:09:e2:bc:0d:cc]
RSSI: -76 [da:09:e2:ca:0d:fc]
RSSI: -74 [da:09:e2:ca:0d:fc]
RSSI: -73 [da:09:e2:d7:0e:1c]
RSSI: -92 [da:51:17:22:00:da]
RSSI: -73 [da:09:e2:e3:0e:4c]
RSSI: -70 [da:09:e2:e3:0e:4c]
RSSI: -70 [da:09:e2:e3:0e:4c]
RSSI: -70 [da:09:e2:f0:0e:6c]
RSSI: -73 [da:09:e2:f0:0e:6c]
RSSI: -70 [da:09:e2:fe:0e:9c]
RSSI: -70 [da:09:e2:fe:0e:9c]
RSSI: -91 [da:51:17:4a:01:5a]
RSSI: -75 [da:09:e3:0a:0e:bc]
RSSI: -73 [da:09:e3:0a:0e:bc]
RSSI: -90 [da:51:17:57:01:7a]
RSSI: -77 [da:09:e3:17:0e:ec]
RSSI: -77 [da:09:e3:17:0e:ec]
RSSI: -74 [da:09:e3:24:0f:0c]
RSSI: -73 [da:09:e3:24:0f:0c]
RSSI: -75 [da:09:e3:31:0f:3c]
RSSI: -73 [da:09:e3:31:0f:3c]
RSSI: -74 [da:09:e3:3e:0f:5c]
RSSI: -71 [da:09:e3:4b:0f:8c]
RSSI: -72 [da:09:e3:4b:0f:8c]
