-70 [da:2f:8d:53:0d:ea]
RSSI: -71 [da:31:b2:c4:14:3a]
RSSI: -73 [da:31:b2:c4:14:3a]
RSSI: -73 [da:31:b2:d4:14:6a]
RSSI: -73 [da:31:b2:d4:14:6a]
RSSI: -73 [da:31:b2:e1:14:8a]
RSSI: -91 [da:34:bb:e9:0e:be]
RSSI: -73 [da:31:b2:f1:14:ba]
RSSI: -90 [da:34:bb:f7:0e:ee]
RSSI: -69 [da:31:b2:fe:14:da]
RSSI: -71 [da:31:b3:0b:14:fa]
RSSI: -90 [da:34:bc:12:0f:2e]
RSSI: -94 [da:37:56:45:05:fc]
RSSI: -72 [da:31:b3:24:15:4a]
RSSI: -76 [da:31:b3:31:15:6a]
RSSI: -76 [da:31:b3:31:15:6a]
RSSI: -77 [da:31:b3:3e:15:8a]
RSSI: -93 [da:34:bc:56:0f:fe]
RSSI: -90 [da:37:56:8c:06:dc]
RSSI: -79 [da:31:b3:57:15:da]
RSSI: -84 [da:31:b3:57:15:da]
RSSI: -88 [da:37:56:9b:07:0c]
RSSI: -79 [da:31:b3:64:15:fa]
RSSI: -78 [da:31:b3:70:16:1a]
RSSI: -92 [da:37:56:a7:07:3c]
RSSI: -78 [da:31:b3:7d:00:2a]
RSSI: -88 [da:37:56:c6:07:9c]
RSSI: -82 [da:31:b3:8a:00:4a]
RSSI: -87 [da:37:56:c6:07:9c]
RSSI: -92 [da:37:56:f1:08:2c]
RSSI: -84 [da:31:b3:bc:00:da]
RSSI: -84 [da:31:b3:c9:00:fa]
RSSI: -84 [da:31:b3:e3:01:4a]
RSSI: -96 [da:37:57:29:08:dc]
RSSI: -87 [da:31:b3:fc:01:9a]
RSSI: -89 [da:31:b4:09:01:ba]
RSSI: -84 [da:31:b4:09:01:ba]
RSSI: -83 [da:31:b4:15:01:ea]
RSSI: -82 [da:31:b4:22:02:0a]
RSSI: -83 [da:31:b4:22:02:0a]
RSSI: -86 [da:31:b4:2f:02:2a]
RSSI: -85 [da:31:b4:2f:02:2a]
RSSI: -86 [da:31:b4:3c:02:4a]
RSSI: -81 [da:31:b4:48:02:7a]
RSSI: -91 [da:31:b4:55:02:9a]
RSSI: -79 [da:31:b4:55:02:9a]
RSSI: -84 [da:31:b4:62:02:ba]
RSSI: -78 [da:31:b4:6f:02:ea]
RSSI: -94 [da:37:57:ab:0a:7c]
RSSI: -84 [da:31:b4:6f:02:ea]
RSSI: -82 [da:31:b4:7b:03:0a]
RSSI: -79 [da:31:b4:7b:03:0a]
RSSI: -84 [da:31:b4:88:03:2a]
RSSI: -83 [da:31:b4:88:03:2a]
RSSI: -88 [da:31:b4:95:03:4a]
RSSI: -87 [da:31:b4:95:03:4a]
RSSI: -76 [da:31:b4:a2:03:7a]
RSSI: -83 [da:31:b4:ae:03:9a]
RSSI: -74 [da:31:b4:bb:03:ba]
RSSI: -80 [da:31:b4:bb:03:ba]
RSSI: -77 [da:31:b4:c8:03:ea]
RSSI: -88 [da:37:58:01:0b:8c]
RSSI: -73 [da:31:b4:c8:03:ea]
RSSI: -76 [da:31:b4:d4:04:0a]
RSSI: -74 [da:31:b4:d4:04:0a]
RSSI: -74 [da:31:b4:d4:04:0a]
RSSI: -74 [da:31:b4:e1:04:2a]
RSSI: -74 [da:31:b4:e1:04:2a]
RSSI: -74 [da:31:b4:ee:04:4a]
RSSI: -75 [da:31:b4:ee:04:4a]
RSSI: -75 [da:31:b4:fb:04:7a]
RSSI: -74 [da:31:b4:fb:04:7a]
RSSI: -74 [da:31:b4:fb:04:7a]
RSSI: -76 [da:31:b5:08:04:9a]
RSSI: -76 [da:31:b5:08:04:9a]
RSSI: -76 [da:31:b5:14:04:ba]
RSSI: -76 [da:31:b5:21:04:ea]
RSSI: -77 [da:31:b5:21:04:ea]
RSSI: -77 [da:31:b5:21:04:ea]
RSSI: -76 [da:31:b5:21:04:ea]
RSSI: -76 [da:31:b5:2e:05:0a]
RSSI: -77 [da:31:b5:2e:05:0a]
RSSI: -78 [da:31:b5:3b:05:2a]
RSSI: -74 [da:31:b5:3b:05:2a]
RSSI: -80 [da:31:b5:47:05:4a]
RSSI: -79 [da:31:b5:47:05:4a]
RSSI: -77 [da:31:b5:47:05:4a]
RSSI: -72 [da:31:b5:54:05:7a]
RSSI: -79 [da:31:b5:54:05:7a]
RSSI: -76 [da:31:b5:61:05:9a]
RSSI: -72 [da:31:b5:61:05:9a]
RSSI: -76 [da:31:b5:6e:05:ba]
RSSI: -76 [da:31:b5:6e:05:ba]
RSSI: -75 [da:31:b5:6e:05:ba]
RSSI: -74 [da:31:b5:7a:05:ea]
RSSI: -75 [da:31:b5:7a:05:ea]
RSSI: -75 [da:31:b5:87:06:0a]
RSSI: -75 [da:31:b5:87:06:0a]
RSSI: -76 [da:31:b5:94:06:2a]
RSSI: -76 [da:31:b5:94:06:2a]
RSSI: -77 [da:31:b5:a1:06:5a]
RSSI: -76 [da:31:b5:a1:06:5a]
RSSI: -77 [da:31:b5:ae:06:7a]
RSSI: -79 [da:31:b5:ae:06:7a]
RSSI: -77 [da:31:b5:ba:06:9a]
RSSI: -79 [da:31:b5:ba:06:9a]
RSSI: -82 [da:31:b5:c7:06:ca]
RSSI: -78 [da:31:b5:c7:06:ca]
RSSI: -79 [da:31:b5:d4:06:ea]
RSSI: -84 [da:31:b5:d4:06:ea]
RSSI: -78 [da:31:b5:e1:07:0a]
RSSI: -88 [da:37:59:15:0e:fc]
RSSI: -82 [da:31:b5:e1:07:0a]
RSSI: -89 [da:37:59:24:0f:2c]
RSSI: -79 [da:31:b5:ee:07:2a]
RSSI: -83 [da:31:b5:fa:07:5a]
RSSI: -87 [da:31:b5:fa:07:5a]
RSSI: -80 [da:31:b6:07:07:7a]
RSSI: -87 [da:31:b6:07:07:7a]
RSSI: -82 [da:31:b6:14:07:9a]
RSSI: -88 [da:37:59:50:0f:ac]
RSSI: -82 [da:31:b6:21:07:ca]
RSSI: -85 [da:37:59:5c:0f:dc]
RSSI: -86 [da:31:b6:3a:08:0a]
RSSI: -87 [da:37:59:7b:10:3c]
RSSI: -85 [da:37:59:7b:10:3c]
RSSI: -81 [da:31:b6:47:08:2a]
RSSI: -84 [da:31:b6:54:08:5a]
RSSI: -88 [da:37:59:88:10:6c]
RSSI: -82 [da:31:b6:61:08:7a]
RSSI: -83 [da:31:b6:61:08:7a]
RSSI: -86 [da:31:b6:6e:08:9a]
RSSI: -83 [da:31:b6:6e:08:9a]
RSSI: -81 [da:31:b6:7a:08:ca]
RSSI: -88 [da:37:59:b3:10:ec]
RSSI: -83 [da:31:b6:7a:08:ca]
RSSI: -79 [da:31:b6:87:08:ea]
RSSI: -83 [da:37:59:c3:11:1c]
RSSI: -82 [da:31:b6:94:09:0a]
RSSI: -81 [da:37:59:c3:11:1c]
RSSI: -89 [da:31:b6:94:09:0a]
RSSI: -83 [da:37:59:d2:11:4c]
RSSI: -79 [da:31:b6:a1:09:3a]
RSSI: -82 [da:31:b6:a1:09:3a]
RSSI: -78 [da:37:59:de:11:7c]
RSSI: -79 [da:37:59:de:11:7c]
RSSI: -78 [da:37:59:de:11:7c]
RSSI: -80 [da:31:b6:ae:09:5a]
RSSI: -83 [da:31:b6:ba:09:7a]
RSSI: -76 [da:37:59:ee:11:ac]
RSSI: -77 [da:37:59:fd:11:dc]
RSSI: -80 [da:31:b6:c7:09:aa]
RSSI: -75 [da:37:59:fd:11:dc]
RSSI: -83 [da:31:b6:c7:09:aa]
RSSI: -75 [da:37:5a:0a:12:0c]
RSSI: -80 [da:31:b6:d4:09:ca]
RSSI: -76 [da:37:5a:0a:12:0c]
RSSI: -80 [da:31:b6:e1:09:ea]
RSSI: -82 [da:31:b6:e1:09:ea]
RSSI: -74 [da:37:5a:19:12:3c]
RSSI: -79 [da:31:b6:ee:0a:1a]
RSSI: -78 [da:31:b6:ee:0a:1a]
RSSI: -75 [da:37:5a:29:12:6c]
RSSI: -79 [da:31:b6:ee:0a:1a]
RSSI: -75 [da:37:5a:29:12:6c]
RSSI: -79 [da:31:b6:fb:0a:3a]
RSSI: -77 [da:31:b6:fb:0a:3a]
RSSI: -76 [da:37:5a:35:12:8c]
RSSI: -78 [da:31:b7:07:0a:5a]
RSSI: -75 [da:37:5a:35:12:8c]
